id,name,coment,length,keyframe,path
int,string,string,float,string,string
动作id,动作名,备注,动作时长,关键帧秒,路径
105301,1053_atk1,周仓,1,0.377,Models/1053/Animations
105302,1053_atk2,周仓,1,0.28,Models/1053/Animations
105303,1053_die,周仓,1.667,0,Models/1053/Animations
105304,1053_idle,周仓,1,0,Models/1053/Animations
105305,1053_prepare,周仓,1,0,Models/1053/Animations
105306,1053_hurt,周仓,0.533,0,Models/1053/Animations
105307,1053_skl1,周仓,1.733,0.53,Models/1053/Animations
105308,1053_skl2,周仓,2.1,0.125|0.25|0.375|0.5|0.625|0.75|0.875|1|1.125|1.25|1.375|1.5|1.625|1.75|1.875|2,Models/1053/Animations
105309,1053_stun,周仓,1.067,0,Models/1053/Animations
105310,1053_walk,周仓,,0,Models/1053/Animations
105311,1053_win,周仓,,0,Models/1053/Animations
105312,1053_jump,周仓,,0,Models/1053/Animations
105313,1053_ride,周仓,,0,Models/1053/Animations
105314,1053_rideidle,周仓,,0,Models/1053/Animations
100801,1008_atk1,庞统,1.5,0.8,Models/1008/Animations
100802,1008_atk2,庞统,1.5,1.036,Models/1008/Animations
100803,1008_die,庞统,,0,Models/1008/Animations
100804,1008_hurt,庞统,0.533,0,Models/1008/Animations
100805,1008_idle,庞统,,0,Models/1008/Animations
100806,1008_prepare,庞统,1,0,Models/1008/Animations
100807,1008_skl72,庞统,3.333,2.18,Models/1008/Animations
100808,1008_skl71,庞统,3.333,0.45|0.89|2.04,Models/1008/Animations
100809,1008_skl73,庞统,2.333,1.27,Models/1008/Animations
100810,1008_stun,庞统,,0,Models/1008/Animations
100811,1008_walk,庞统,,0,Models/1008/Animations
100812,1008_win,庞统,,0,Models/1008/Animations
100813,1008_ride,庞统,,0,Models/1008/Animations
100814,1008_rideidle,庞统,,0,Models/1008/Animations
100901,1009_atk1,魏延,1.33,0.57,Models/1009/Animations
100902,1009_atk2,魏延,1.33,0.595,Models/1009/Animations
100903,1009_die,魏延,,,Models/1009/Animations
100904,1009_hurt,魏延,0.533,0,Models/1009/Animations
100905,1009_idle,魏延,,,Models/1009/Animations
100906,1009_prepare,魏延,1,0,Models/1009/Animations
100907,1009_skl81,魏延,1.667,0.715,Models/1009/Animations
100908,1009_skl82,魏延,1.5,1.12,Models/1009/Animations
100909,1009_stun,魏延,,,Models/1009/Animations
100910,1009_walk,魏延,,,Models/1009/Animations
100911,1009_win,魏延,,,Models/1009/Animations
100912,1009_skl4014,魏延,5.633,0,Models/1009/Animations
100913,1009_ride,魏延,0.8,,Models/1009/Animations
100914,1009_rideidle,魏延,1,,Models/1009/Animations
401501,4015_atk1,魏延小兵,0.8,0.4,Models/4015/Animations
401502,4015_die,魏延小兵,,,Models/4015/Animations
401503,4015_hurt,魏延小兵,0.533,,Models/4015/Animations
401504,4015_idle,魏延小兵,,,Models/4015/Animations
